title,slug,nickname,address,city,state,zipCode,latitude,longitude,listingType,propertyType,landSubcategory,squareFeet,acreage,isMultiTenant,unitCount,description,features,price,priceNegotiable,leaseType,leasePricePerSf,leaseNnnCharges,noi,capRate,occupancy,heroImage,galleryImages,floorPlan,sitePlan,brochure,youtubeLink,brokerEmails,status,transactionOutcome,soldPrice,soldDate,soldNotes
Property display name,property-display-name,,123 Main St,Columbus,OH,43215,39.9612,-83.0007,For Sale,Retail,,8500,,FALSE,,Full property description here.,Feature 1|Feature 2|Feature 3,450000,FALSE,,,,,,,/images/listings/hero.jpg,/images/listings/1.jpg|/images/listings/2.jpg,,,,,agent@example.com,Active,,,,
High Street Retail,high-street-retail,,150 N High St,Columbus,OH,43215,39.9652,-83.0014,For Lease,Retail,,8500,,FALSE,,Prime retail space on High Street.,High Visibility|On-Site Parking|Build-Out Ready,,FALSE,NNN,24,4.5,,,,/images/listings/high-street.png,/images/listings/high-street.png,,,,,agent@example.com,Active,,,,
Industrial Warehouse,polaris-warehouse,,8800 Lyra Dr,Columbus,OH,43240,40.1456,-82.9287,For Sale,Industrial,,125000,8.2,FALSE,,Class A industrial warehouse.,Dock High|32' Clear Height|I-71 Access,,TRUE,,,,,,Owner User,/images/placeholders/listing-2.jpg,/images/placeholders/listing-2.jpg,,,,,agent@example.com,Active,,,,
,,,9845 Basil-Western Road,,,,,,For Sale/For Lease,Land,Retail,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,7697 Bale Kenyon Road,,,,,,For Sale,Residential,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,265-267 Belvidere Avenue ,,,,,,For Sale,Residential,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,286 Belvidere Avenue,,,,,,For Sale,Retail,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0 Broad Street (3.4 AC ),,,,,,For Sale,Land,Retail,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0 Broad Street (4.5 AC),,,,,,For Sale,Land,Retail,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,875 E Broad Street,,,,,,For Sale,Residential,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,975-977 W Broad Street,,,,,,For Lease,Office,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1328 W Broad Street,,,,,,For Sale/For Lease,Retail,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1338-1342 W Broad Street,,,,,,For Sale,Retail,,,,,,,,,,,,,,,,,,,,,,,,,,,
